"Name","id","Phone","Email","Website/Social Media","Neighborhood","Category","Pod","Latitude","Longitude","Address","Zip Code","Status","Special Accommodation Hours","Pickup Offered","Delivery Offered","Hours","Last Updated","Created time","Last Modified by","Source","Delivery/Pickup Notes","Admin Notes","Donate","Sub-Category","Outdoor Space","Indoor Seating","Type of Closing","SNAP/EBT"
"Cafe Alula",11,"(718) 316-6161",,"https://www.instagram.com/cafealula/?hl=en","Greenpoint","Coffee Shop","2",40.734612,-73.958142,"252 Franklin St. ","11222","Open",,"Yes","Yes","Tue-Sun: 8:30am-6:30pm
","2020-07-02T16:02:12.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location","You can order from Chow Now or Caviar or call 718 316 6161 for pickup or delivery. <https://direct.chownow.com/order/13709/locations/19219>
","
","Venmo @alula_staff ",,"Street Seating",,,
"Amami",12,"917-909-1568","amamibk@gmail.com","https://www.instagram.com/amami_bk/","Greenpoint","Restaurant","12",40.723545,-73.952195,"57 Nassau Ave.","11222","Open",,"Yes","Yes","Daily: 12pm-10:30pm
","2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Call and place your take out orders or deliveries at 917.909.1568. Menu online. <https://amamibk.com>
","Booze, and daily specials. 
",,"Japanese",,,,
"Anella ",13,"718-389-8100",,"https://www.instagram.com/anellabk/","Greenpoint","Restaurant","2",40.733263,-73.957918,"222 Franklin St.","11222","Open",,"Yes","No","Thu-Sun: 5pm-9pm
","2020-06-29T19:18:06.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Website","Order on their website for pickup only. Orders placed after 8:30pm will be ready the following day: <http://www.anellabrooklyn.com/dinnnertakeout>

Buy merch or ""leave a tip"" (on their online store) to benefit staff.
","
",,"American,Italian",,,,
"Animal Planet",14,"718-349-0602","None","https://animal-planet-pet-supplies.business.site/","Greenpoint","Pet Supplies","2",40.735642,-73.954846,"1084 Manhattan Avenue # 1, Brooklyn, NY 11222","11222","Open",,"Yes","Yes","Daily: 11am-7pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,"Hours not accurate on website. New hours 11-7.
",,,,,,
"Antica Pesa",15,"(347) 763-2635","None","anticapesa.com","North Williamsburg","Restaurant","14",40.718824,-73.958675,"115 Berry St, Brooklyn, NY 11249","11249","Open",,"Yes","Yes","Tues-Thurs: 4pm-10pm / Fri-Sat: 4pm-11pm / Sun: 4pm-10pm
","2020-05-06T15:43:22.000Z","2020-05-01T21:19:59.000Z",,"Location","Our Take-out and Delivery Menu is available every Tuesday-Sunday for deliveries via Caviar and Grubhub or for pick-ups via phone!
","We are also accepting pre-orders for Mother's Day pick-ups. For the holiday, we will be open from 1pm-8pm.
",,"Italian",,,,
"Antidote Apothecary",16,"929-276-3905",,"https://www.instagram.com/antidote_apothecary_teabar/","Greenpoint","Coffee Shop","4",40.732252,-73.957683,"200 Franklin St.","11222","Closed",,"No","No","
","2020-07-16T23:14:52.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","BABAR listserv","
","
",,"Tea Bar",,,"Permanent: Covid",
"Apollo Express Laundromat",17,"718-389-1319",,,"Greenpoint","Laundromat","2",40.733828,-73.955139,"1019 Manhattan Ave, Brooklyn, NY 11222","11222","Open",,,,"Daily: 6am-12am
","2020-10-15T17:49:04.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Greenpoint Strong Slack",,,,,,,,
"Apollo Laundromat",18,"347.689.4800",,"https://www.apollolaundromat.com/","Greenpoint","Laundromat","4",40.731684,-73.957651,"190 Franklin Street, Brooklyn, NY 11222","11222","Open",,,,"Mon-Fri: 7am-3pm / Sat-Sun: 7am-6pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"Location",,,,,,,,
"Apteka Pharmacy",19,"718-349-8989",,,"Greenpoint","Pharmacy","11",40.72505,-73.947299,"151 Nassau Avenue, Brooklyn, NY 11222","11222","Open",,,,"Daily: 10am-7pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,,,,,,,
"Archestratus",20,"718-349-7711",,"https://www.instagram.com/_archestratus_/","Greenpoint","Restaurant","2",40.732859,-73.955166,"160 Huron St.","11222","Open",,"Yes","No","Thurs-Fri: 12pm-5pm / Sat: 1pm-7pm / Sun: 12pm-3pm
","2020-05-14T17:55:35.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","One Stop Shop grocery pickup. Also shipping. Farm produce boxes offered for pickup, email paige@archestrat.us and order food/goods on the site - <https://archestratus-books-foods.myshopify.com/> Books, gifts & pantry items also available for pickup.
","Donation link last checked 9/7/20
","https://archestratus-books-foods.myshopify.com/collections/make-a-donation","Grocery Store,Italian,Coffee Shop",,,,
"AS Warehouse",21,"(347) 457-5923",,,"Greenpoint","Grocery Store","5",40.731676,-73.951481,"276 McGuinness Blvd, Brooklyn, NY 11222","11222","No Answer",,,,,"2020-05-07T21:47:16.000Z","2020-04-29T00:34:13.000Z",,,,,,"Supermarket",,,,
"Ashbox Cafe",22,"718-389-3222",,"https://www.instagram.com/ashboxcafe/","Greenpoint","Restaurant","1",40.737768,-73.955186,"1154 Manhattan Ave.","11222","Open",,"Yes","No","Mon-Sat: 10am-4pm
","2020-07-16T23:18:01.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location","
",,,"Japanese,Coffee Shop","Sidewalk Seating",,,
"Associated Supermarket",23,"(718) 383-7756",,"https://www.shopassociated.com/","Greenpoint","Grocery Store","6",40.728015,-73.952897,"802 Manhattan Avenue, Brooklyn, NY 11222","11222","Open","Mon-Fri: 8am-9am Senior Hours","No","No","Mon-Sat: 8am-7pm / Sun: 9am-4pm
","2020-05-07T21:47:20.000Z","2020-04-29T00:34:13.000Z",,,,,,"Supermarket",,,,
"Aurora Hardware and Locksmith",24,"718-387-3581","aurorahws@gmail.com","None","North Williamsburg","Hardware Store","15",40.719295,-73.956424,"136 Bedford Ave Brooklyn NY ","11211","Open","None ","No","No","Daily: 9am-5pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,,,,,,,
"Avon Pharmacy & Surgical",25,"(718) 384-0630",,,"East Williamsburg","Pharmacy","22",40.703974,-73.94237,"82 Graham Ave # A, Brooklyn, NY 11206","11206","Open",,"Yes","Yes","Mon-Sat: 10am-6pm / Sun: closed
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,"10 - 6 sun closed
pu/delivery
sd yes
",,,,,,
"Azure Grocery",26,"(718) 599-7887",,,"East Williamsburg","Grocery Store","21",40.707689,-73.941708,"187 Montrose Ave, Brooklyn, NY 11206","11206","Open",,,"Yes","Daily: 8am-8:30pm
","2020-05-07T18:20:16.000Z","2020-05-01T17:27:28.000Z",,"North Brooklyn Neighbors","Delivery available for prepared food not for groceries. <https://azuregrocery.com/>
","
",,,,,,"No"
"B & G Hardware ",27,"718-388-4214","bghardware292@aol.com","https://www.facebook.com/BandGHardware/","South Williamsburg","Hardware Store","27",40.712426,-73.959175,"210 Roebling Street Brooklyn NY ","11211","Open","None ","No","No","Mon-Fri: 8am-8pm / Sat: 8am-6pm / Sun: Closed 
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,,,,,,,
"B's Bikes",28,"(718) 349-1212",,"https://www.instagram.com/bsbikes/?hl=en","Greenpoint","Bike Shops","12",40.722769,-73.94832,"262 Driggs Avenue, Brooklyn, NY 11222","11222","Open",,,,"Daily: 12pm-7pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"Location",,,,,,,,
"Bagel Point",29,"(718) 383-1600",,"bagelpoint.com","Greenpoint","Restaurant","7",40.725483,-73.952012,"699 Manhattan Ave, Brooklyn, NY 11222","11222","Open",,"Yes","Yes","Daily: 7am-4pm
","2020-07-16T23:18:09.000Z","2020-04-30T06:25:00.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","Order online or curbside pickup
",,,"Bagel Shop","Sidewalk Seating",,,
"Bagelsmith",30,"(347) 294-0046",,"https://www.instagram.com/bagelsmith_nyc/","North Williamsburg","Restaurant","25",40.713875,-73.949188,"566 Lorimer St.","11211","Open",,"Yes","Yes","Daily: 6am-5pm
","2020-05-06T15:43:22.000Z","2020-04-29T01:52:36.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Order on their site. <http://bagelsmith.com/>
",,,"Bagel Shop",,,,
"Bake Shop",31,"(718) 381-3706",,,"East Williamsburg","Bakery","23",40.705141,-73.928489,"1087 Flushing Ave, Brooklyn, NY ","11206","Closed",,,,,"2020-05-13T20:30:49.000Z","2020-05-01T04:29:41.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Phone/Yelp",,,,,,,"Temporary",
"Baker's Dozen",32,"(718) 349-2222",,"http://bakersdozengreenpoint.com/","Greenpoint","Restaurant","7",40.727579,-73.95274,"788 Manhattan Ave, Brooklyn, NY 11222","11222","Open",,"Yes","Yes","Daily: 7am-3pm
","2020-05-18T14:41:47.000Z","2020-04-30T06:14:49.000Z","{""id"":""usrhuKQ7QCL5IRzb0"",""email"":""meganificent@gmail.com"",""name"":""Megan Penmann""}","Website","Order on their website.
",,,"Bagel Shop",,,,
"Bakeri (Greenpoint)",33,"718-349-1542",,"http://www.bakeribrooklyn.com","Greenpoint","Bakery","2",40.734416,-73.957549,"105 Freeman Street, Brooklyn NY","11222","Open",,"Yes","Yes","Daily: 8am-3pm
","2020-06-29T20:22:16.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","Order delivery via their website.
","
",,"Coffee Shop",,,,
"Bakeri (Williamsburg)",34,"(718) 388-8037",,"bakeribrooklyn.com","North Williamsburg","Bakery","14",40.720022,-73.960103,"150 Wythe Ave, Brooklyn NY","11211","Open",,"Yes","No","Daily: 8am-3pm
","2020-08-25T23:23:54.000Z","2020-05-01T03:51:07.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","
",,,"Coffee Shop",,,,
"Baoburg",35,"718-349-0011",,"https://www.instagram.com/baoburg/","Greenpoint","Restaurant","12",40.723474,-73.950392,"614 Manhattan Ave.","11222","Open",,"Yes","Yes","Daily: 12pm-8pm
","2020-05-18T14:47:52.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrhuKQ7QCL5IRzb0"",""email"":""meganificent@gmail.com"",""name"":""Megan Penmann""}","Instagram/Location","Takeout and Delivery only, order on their site - <http://www.baoburg.com/> or 15% discount for direct orders by phone. Survivor Meals for $5 - 12pm-8pm, cash and pickup only. Check their IG Stories for more info on menu.
","
",,"Thai,Asian",,,,
"bar velo ",36,"718-599-6895",,"https://instagram.com/barvelobrooklyn?igshid=ynrp1be4zxd4","South Williamsburg","Bar","29",40.707075,-73.954438,"394 Broadway","11211","Closed",,,,,"2020-05-13T20:31:39.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram",,"Donation Link Last Checked 6/29/20
","https://www.gofundme.com/f/s4ddu-help-our-staff-during-this-difficult-time","Restaurant",,,"Permanent: Covid",
"Barano",37,"347-987-4500",,"https://www.instagram.com/baranobk/","South Williamsburg","Restaurant","28",40.710488,-73.967919,"26 Broadway","11249","Open",,"Yes","Yes","Tues-Sun: 2pm-8pm
","2020-05-06T15:43:22.000Z","2020-04-29T01:52:36.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location","Will deliver to GP. Order on their site - <https://www.baranobk.com/>
","Donation link last checked 9/7/20
","https://www.gofundme.com/f/barano-employee-fund","Italian",,,,
"Barcade",38,"(718) 302-6464",,"https://www.instagram.com/barcade/","South Williamsburg","Bar","25",40.712046,-73.950969,"388 Union Avenue","11211","Open",,"Yes","No","Daily: 4pm-12am
","2020-10-08T04:05:51.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Staffer","
","Donation Link Last Checked 10/7/20 -AR
","https://www.gofundme.com/f/support-your-barcade-brooklyn-staff",,"Street Seating","Yes",,
"Bell Drugs, Inc.",39,"(718) 388-4307",,,"East Williamsburg","Pharmacy","21",40.706229,-73.942794,"138 Graham Ave, Brooklyn, NY 11206","11206","Follow-up",,,,"Mon-Fri: 10am-4pm / Sat: 10am-2pm / Sun: Closed
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,,,"Open. Follow up needed for pick up and delivery info.
",,,,,,
"Bernie's",40,"347-529-6400",,"https://www.instagram.com/berniesnyc/","Greenpoint","Restaurant","12",40.721927,-73.950597,"332 Driggs Ave.","11222","Closed",,,,,"2020-05-06T16:52:59.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,,"Donation Link Last Checked 6/29/20
","https://www.gofundme.com/f/bernie039s-amp-frankel039s-family-fund","American",,,"Temporary",
"Berry Cleaners",41,"718-388-3843",,,"North Williamsburg","Laundromat","13",40.721102,-73.956646,"44 Berry St., Brooklyn, NY","11211","Open",,"Yes","Yes","Daily: 9am-5pm
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"location",,,,,,,,
"Best Pizza",42,"718-404-9053",,"https://www.instagram.com/bestpizza33/","North Williamsburg","Restaurant","17",40.715588,-73.953446,"33 Havemeyer St.","11222","Open",,"Yes","Yes","Sun-Thurs: 12pm-9pm / Fri: 12pm-11pm / Sat: 12pm-10pm
","2020-07-16T23:18:40.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Delivery/pickup via Seamless.

ANYONE out there that is in need of food, can’t afford groceries or have young children that need to eat come see us. We will provide the best we can no questions asked.. Any Hospitals that may need food for clinicians on the front lines DM or Call Best Pizza 718-599-2210
","Donation link last checked 9/7/20
","https://www.gofundme.com/f/best-pizza-staff-fund","Pizzeria","Casual Chairs",,,
"Best Value Hardware",43,"718-383-5609",,,"Greenpoint","Hardware Store","6",40.728282,-73.953524,"817 Manhattan Ave. Brooklyn NY ","11222","Open",,,,"Mon-Sat: 9am-6pm / Sun: 10am-5pm
","2020-06-14T17:25:53.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrzmjXCviNJI9rig"",""email"":""adrianne.jeffries@gmail.com"",""name"":""Adrianne Jeffries""}",,,,,,,,,
"Bff Petwash",44,"718-349-8705","Info@bffpetwash.com","https://www.bffpetwash.com/","Greenpoint","Other","11",40.723052,-73.946039,"192 Driggs Avenue","11222","Open",,,,"
","2020-10-18T17:04:24.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"DIY pet wash
","
",,,,,,
"Biedronka",45,"(347) 457-6484",,,"Greenpoint","Grocery Store","6",40.729185,-73.95353,"854 Manhattan Avenue, Brooklyn, NY 11222","11222",,,,,,"2020-04-29T01:29:25.000Z","2020-04-29T00:34:13.000Z",,,,,,,,,,
"Bike Ahead",46,"718-289-0811","customerservice@bikeahead.com","https://bikeahead.com/","South Williamsburg","Bike Shops","29",40.707132,-73.954744,"386 Broadway, Brooklyn, NY 11211","11211","Closed",,,,,"2020-04-29T01:31:41.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Website (Covid-19 update)",,,,,,,"Temporary",
"BikeWorks NYC",47,"(646) 812-2524",,"http://bikecult.com/","South Williamsburg","Bike Shops","28",40.711021,-73.967285,"35 Broadway, Brooklyn, NY 11249","11249","Open",,,,,"2020-05-22T19:45:23.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Transportation Alternative Sheet",,,,,,,,
"Blue Bottle Coffee",48,"(510) 653-3394",,"https://www.instagram.com/bluebottle","North Williamsburg","Coffee Shop","14",40.717287,-73.961642,"76 N 4th St. Store A","11249","Open",,"Yes","No","Daily: 7am-6pm
","2020-08-26T00:06:26.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Website",,"
",,,,,,
"Boreum Drugs",49,"(718) 387-8288",,,"South Williamsburg","Pharmacy","31",40.706287,-73.950049,"194 Union Ave, Brooklyn, NY 11211","11211","Open",,"Yes","No","Mon-Fri: 9:30am-5pm / Sat: 9:30am-3pm / Sun: Closed
","2020-05-06T21:30:27.000Z","2020-04-29T00:34:13.000Z",,,,"Only one person allowed in at a time. Please call ahead.
",,,,,,
"Bozu",50,"718-384-7770",,"https://www.instagram.com/bozubrooklyn/","South Williamsburg","Restaurant","26",40.712844,-73.957522,"296 Grand Street","11211","Open",,"No","Yes","Daily: 4pm-10pm
","2020-06-29T19:19:41.000Z","2020-04-29T01:52:36.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Devliery via Caviar & Doordash.
","Donation link last checked 9/7/20
","https://www.gofundme.com/f/relief-fund-for-employees-of-bbf-group","Japanese",,,,
"Bread Brothers Bagel Cafe - Greenpoint",51,"(718) 576-3837",,"breadbrotherscafe.com","Greenpoint","Restaurant","4",40.730608,-73.95407,"912 Manhattan Avenue","11222","Open",,"Yes","Yes","Daily: 7am-3pm
","2020-10-05T18:51:52.000Z","2020-04-30T05:50:56.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Website",,"
",,"Bagel Shop",,,,
"Broken Land",52,"718-349-2901","brokenlandbar@gmail.com","https://www.instagram.com/brokenlandbar/","Greenpoint","Bar","6",40.729522,-73.957799,"105 Franklin St., Brooklyn, NY 11222","11222","Open",,"Yes","No","Mon-Fri: 4pm-10pm / Sat-Sun: 2pm-10pm
","2020-07-16T23:09:39.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Instagram","Reservations being taken for garden seating in 2 hour blocks. Inquire at brokenlandbar@gmail.com. Last seating at 9pm.
","
",,"Restaurant","Backyard/Open Space,Street Seating",,,
"Brooklyn Bicycle Co",53,"(800) 631-0630","info@brooklynbicycleco.com","brooklynbicycleco.com","Greenpoint","Bike Shops","4",40.730026,-73.958373,"61 Greenpoint Avenue, Suite 410, Brooklyn, NY 11222","11222","Open",,,,"By Appointment Only
","2020-05-06T15:43:22.000Z","2020-04-29T00:34:13.000Z",,"North Brooklyn Neighbors",,,,,,,,
"Brooklyn Bike Peddler",54,"347-799-2014",,"https://www.instagram.com/brooklynpeddler/?utm_source=ig_embed","North Williamsburg","Bike Shops","17",40.715937,-73.949497,"636 Lorimer Street, Brooklyn, NY 11211","11211","Open",,,,"Tues-Sun: 12 pm to 6 pm
","2020-05-06T23:59:48.000Z","2020-04-29T00:34:13.000Z",,"North Brooklyn Neighbors",,,,,,,,
"Brooklyn Cupcake",55,"(718) 576-3600",,"brooklyncupcake.com","South Williamsburg","Bakery","30",40.710378,-73.951275,"335 Union Ave, Brooklyn, NY 11211","11211","Open",,"Yes","Yes","Sun-Wed: 11am-7pm / Thurs-Sat: 11am-9pm
","2020-10-15T17:57:58.000Z","2020-05-01T04:33:06.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,,,,,,,,
"Brooklyn Harvest Market",56,"(718) 486-3300",,"https://www.brooklynharvestmarkets.com/","South Williamsburg","Grocery Store","30",40.706287,-73.950049,"204 Union Avenue, Brooklyn, NY 11211","11211","Open",,"No","Yes","Daily: 7am-12am
","2020-10-15T17:48:12.000Z","2020-04-29T00:34:13.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}",,"Delivery only through instacart
","<https://www.facebook.com/Brooklyn-Harvest-309194922804760/>
",,"Supermarket",,,,
"Brooklyn Label",57,"347-689-4072",,"https://www.instagram.com/brooklynlabelgreenpoint/","Greenpoint","Restaurant","4",40.731684,-73.957651,"180 Franklin St.","11222","Open",,"Yes","Yes","Daily: 3pm-8pm
","2020-06-30T17:34:22.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","North Brooklyn Neighbors","Cocktails (and food) for takeout Call ahead. Delivery on Seamless or Grubhub (but they recommend calling/pickup for best service). Text them at (917) 740-5181.
","
",,"American","Street Seating",,,
"Brooklyn Safehouse",58,"(718) 349-6895",,"https://instagram.com/brooklyn_safehouse","Greenpoint","Bar","6",40.728869,-73.957202,"120 Franklin Street","11222","Open",,"Yes","No",,"2020-10-05T18:49:55.000Z","2020-04-29T01:01:15.000Z","{""id"":""usrwcAtbzYWv8hBG1"",""email"":""margara.sees@gmail.com"",""name"":""Ari R""}","Location","
","Donation Link Last Checked 9/7/20 AR
","https://www.gofundme.com/f/support-your-safehouse-staff",,"Street Seating",,,
